SONG,ALBUM,DATE,TRACK NO,DURATION M,DURATION S,TOTAL S,PLAYS,WORDCOUNT,UK CHART,LP,CS,CD,DL,DVD,COVER?,"FEATURE SONG? IDK, WHEN YOU HAVE A SINGLE FOR AN ALBUM",CHART IF SINGLE,LEMMY,LARRY WALLIS,LUCAS FOX,PHIL TAYLOR,EDDIE CLARKE,BRIAN ROBERTSON,PHIL CAMPBELL,MICHAEL BURSTON,PETE GILL,MIKKEY DEE,DADS BDAY,DADS AGE D,DADS AGE Y,LABEL,EXPLICIT?,MUSIC VIDEO?
No Class,No Remorse,9/15/1984,20,2,38,158,5598943,116,14,1,1,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,11/28/1969,"5,405.00",14.81,Bronze,0.00,0.00
Iron Horse,No Remorse,9/15/1984,21,3,45,225,726923,152,14,1,1,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,11/28/1969,"5,405.00",14.81,Bronze,0.00,0.00
(We Are) The Roadcrew,No Remorse,9/15/1984,22,3,11,191,9544411,148,14,1,1,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,11/28/1969,"5,405.00",14.81,Bronze,1.00,0.00
Leaving Here,No Remorse,9/15/1984,23,3,3,183,328639,202,14,1,1,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,11/28/1969,"5,405.00",14.81,Bronze,0.00,0.00
Locomotive,No Remorse,9/15/1984,24,3,22,202,326648,106,14,1,1,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,11/28/1969,"5,405.00",14.81,Bronze,0.00,0.00
Under the Knife,No Remorse,9/15/1984,25,3,48,228,176641,133,14,1,1,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,11/28/1969,"5,405.00",14.81,Bronze,0.00,0.00
Masterplan,No Remorse,9/15/1984,26,2,52,172,160615,234,14,1,1,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,11/28/1969,"5,405.00",14.81,Bronze,0.00,0.00
No Class,No Remorse,9/15/1984,27,2,29,149,167255,111,14,1,1,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,11/28/1969,"5,405.00",14.81,Bronze,0.00,0.00
Stand By Your Man,No Remorse,9/15/1984,28,3,6,186,353999,154,14,1,1,0,0,0,1,0,,1,0,0,0,0,0,0,0,0,0,11/28/1969,"5,405.00",14.81,Bronze,0.00,0.00
Deaf Forever,Orgasmatron,8/9/1986,1,4,26,266,2083048,320,21,1,1,1,0,0,0,1,67,1,0,0,0,0,0,1,1,1,0,11/28/1969,"6,098.00",16.71,GWR,0.00,0.00
Nothing Up My Sleeve,Orgasmatron,8/9/1986,2,3,12,192,490187,166,21,1,1,1,0,0,0,0,,1,0,0,0,0,0,1,1,1,0,11/28/1969,"6,098.00",16.71,GWR,0.00,0.00
Ain't My Crime,Orgasmatron,8/9/1986,3,3,43,223,607145,207,21,1,1,1,0,0,0,0,,1,0,0,0,0,0,1,1,1,0,11/28/1969,"6,098.00",16.71,GWR,0.00,0.00
Claw,Orgasmatron,8/9/1986,4,3,31,211,430752,238,21,1,1,1,0,0,0,0,,1,0,0,0,0,0,1,1,1,0,11/28/1969,"6,098.00",16.71,GWR,0.00,0.00
Mean Machine,Orgasmatron,8/9/1986,5,2,57,177,624681,117,21,1,1,1,0,0,0,0,,1,0,0,0,0,0,1,1,1,0,11/28/1969,"6,098.00",16.71,GWR,0.00,0.00
Built for Speed,Orgasmatron,8/9/1986,6,4,56,296,909953,201,21,1,1,1,0,0,0,0,,1,0,0,0,0,0,1,1,1,0,11/28/1969,"6,098.00",16.71,GWR,0.00,0.00
Ridin' with the Driver,Orgasmatron,8/9/1986,7,3,47,227,482536,205,21,1,1,1,0,0,0,0,,1,0,0,0,0,0,1,1,1,0,11/28/1969,"6,098.00",16.71,GWR,0.00,0.00
Doctor Rock,Orgasmatron,8/9/1986,8,3,37,217,1173272,247,21,1,1,1,0,0,0,0,,1,0,0,0,0,0,1,1,1,0,11/28/1969,"6,098.00",16.71,GWR,0.00,0.00
Orgasmatron,Orgasmatron,8/9/1986,9,5,23,323,6495312,188,21,1,1,1,0,0,0,0,,1,0,0,0,0,0,1,1,1,0,11/28/1969,"6,098.00",16.71,GWR,0.00,0.00
Rock 'n' Roll,Rock 'n' Roll,9/5/1987,1,3,47,227,7113054,216,34,1,1,1,0,0,0,0,,1,0,0,1,0,0,1,1,0,0,11/28/1969,"6,490.00",17.78,GWR,0.00,0.00
Eat the Rich,Rock 'n' Roll,9/5/1987,2,4,34,274,4499781,236,34,1,1,1,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,11/28/1969,"6,490.00",17.78,GWR,0.00,1.00
Blackheart,Rock 'n' Roll,9/5/1987,3,4,0,240,387543,276,34,1,1,1,0,0,0,0,,1,0,0,1,0,0,1,1,0,0,11/28/1969,"6,490.00",17.78,GWR,0.00,0.00
Stone Deaf In the USA,Rock 'n' Roll,9/5/1987,4,4,40,280,310137,172,34,1,1,1,0,0,0,0,,1,0,0,1,0,0,1,1,0,0,11/28/1969,"6,490.00",17.78,GWR,0.00,0.00
The Wolf,Rock 'n' Roll,9/5/1987,5,3,28,208,369758,126,34,1,1,1,0,0,0,0,,1,0,0,1,0,0,1,1,0,0,11/28/1969,"6,490.00",17.78,GWR,0.00,0.00
